chamber,next_election,name,district,seniority,gender,twitter_id,times_topics_url,role,youtube_id,party,id,api_url,member_id,first_name,middle_name,last_name,image_url,date_of_birth,url,govtrack_id,cspan_id,icpsr_id,thomas_id,facebook_account,facebook_id,rss_url,domain,most_recent_vote
house of representatives,2018,Duncan D. Hunter,50,10,M,Rep_Hunter,,Representative,CongressmanHunter,R,H001048,https://api.propublica.org/congress/v1/members/H001048.json,H001048,Duncan,D.,Hunter,https://theunitedstates.io/images/congress/450x550/H001048.jpg,1976-12-07,https://hunter.house.gov,412283,1032398,20963,1909,DuncanHunter,79072979038,https://hunter.house.gov/rss.xml,hunter.house.gov,2017-01-30
house of representatives,2018,Tom McClintock,4,10,M,RepMcClintock,,Representative,McClintockCA04,R,M001177,https://api.propublica.org/congress/v1/members/M001177.json,M001177,Tom,,McClintock,https://theunitedstates.io/images/congress/450x550/M001177.jpg,1956-07-10,http://mcclintock.house.gov,412295,30359,20903,1908,81125319109,81125319109,http://mcclintock.house.gov/rss.xml,mcclintock.house.gov,2017-01-30
house of representatives,2018,Xavier Becerra,34,26,M,RepBecerra,,Representative,XavierBecerra,D,B000287,https://api.propublica.org/congress/v1/members/B000287.json,B000287,Xavier,,Becerra,https://theunitedstates.io/images/congress/450x550/B000287.jpg,1958-01-26,http://becerra.house.gov,400021,26567,29316,70,XavierBecerra,90311772229,https://becerra.house.gov/rss/press-releases.xml,becerra.house.gov,2017-01-23
house of representatives,2018,Ken Calvert,42,26,M,KenCalvert,,Representative,RepKenCalvert,R,C000059,https://api.propublica.org/congress/v1/members/C000059.json,C000059,Ken,,Calvert,https://theunitedstates.io/images/congress/450x550/C000059.jpg,1953-06-08,http://calvert.house.gov,400057,26709,29323,165,70063393423,70063393423,http://calvert.house.gov/news/rss.aspx,calvert.house.gov,2017-01-30
house of representatives,2018,Jim Costa,16,14,M,RepJimCosta,,Representative,RepJimCostaCA20,D,C001059,https://api.propublica.org/congress/v1/members/C001059.json,C001059,Jim,,Costa,https://theunitedstates.io/images/congress/450x550/C001059.jpg,1952-04-13,https://costa.house.gov,400618,19599,20501,1774,RepJimCosta,,https://costa.house.gov/rss.xml,costa.house.gov,2017-01-30
house of representatives,2018,Susan A. Davis,53,18,F,RepSusanDavis,,Representative,,D,D000598,https://api.propublica.org/congress/v1/members/D000598.json,D000598,Susan,A.,Davis,https://theunitedstates.io/images/congress/450x550/D000598.jpg,1944-04-13,https://susandavis.house.gov,400097,85595,20108,1641,RepSusanDavis,103767526332478,https://susandavis.house.gov/rss.xml,house.gov/susandavis,2017-01-30
house of representatives,2018,Anna G. Eshoo,18,26,F,RepAnnaEshoo,,Representative,RepAnnaEshoo,D,E000215,https://api.propublica.org/congress/v1/members/E000215.json,E000215,Anna,G.,Eshoo,https://theunitedstates.io/images/congress/450x550/E000215.jpg,1942-12-13,http://eshoo.house.gov,400124,26130,29312,355,RepAnnaEshoo,174979964227,http://eshoo.house.gov/category/news-stories/press-releases/feed/,eshoo.house.gov,2017-01-30
house of representatives,2018,Darrell Issa,49,18,M,DarrellIssa,http://topics.nytimes.com/top/reference/timestopics/people/i/darrell_e_issa/index.html,Representative,repdarrellissa,R,I000056,https://api.propublica.org/congress/v1/members/I000056.json,I000056,Darrell,,Issa,https://theunitedstates.io/images/congress/450x550/I000056.jpg,1953-11-01,https://issa.house.gov,400196,90066,20107,1640,darrellissa,19463427992,,issa.house.gov,2017-01-30
house of representatives,2018,Zoe Lofgren,19,24,F,RepZoeLofgren,,Representative,RepZoeLofgren,D,L000397,https://api.propublica.org/congress/v1/members/L000397.json,L000397,Zoe,,Lofgren,https://theunitedstates.io/images/congress/450x550/L000397.jpg,1947-12-21,https://lofgren.house.gov,400245,36520,29504,701,zoelofgren,221191600719,https://lofgren.house.gov/news/rss.aspx,lofgren.house.gov,2017-01-30
house of representatives,2018,Barbara Lee,13,22,F,RepBarbaraLee,,Representative,RepLee,D,L000551,https://api.propublica.org/congress/v1/members/L000551.json,L000551,Barbara,,Lee,https://theunitedstates.io/images/congress/450x550/L000551.jpg,1946-07-16,https://lee.house.gov,400237,54579,29778,1501,RepBarbaraLee,92190287786,,lee.house.gov,2017-01-30
house of representatives,2018,Doris Matsui,6,14,F,DorisMatsui,,Representative,RepDorisMatsui,D,M001163,https://api.propublica.org/congress/v1/members/M001163.json,M001163,Doris,,Matsui,https://theunitedstates.io/images/congress/450x550/M001163.jpg,1944-09-25,https://matsui.house.gov,400663,26602,20538,1814,doris.matsui,,https://matsui.house.gov/rss/press-releases.xml,matsui.house.gov,2017-01-30
house of representatives,2018,Kevin McCarthy,23,12,M,GOPLeader,http://topics.nytimes.com/top/reference/timestopics/people/m/kevin_mccarthy/index.html,Representative,repkevinmccarthy,R,M001165,https://api.propublica.org/congress/v1/members/M001165.json,M001165,Kevin,,McCarthy,https://theunitedstates.io/images/congress/450x550/M001165.jpg,1965-01-26,http://kevinmccarthy.house.gov,412190,85231,20703,1833,CongressmanKevinMcCarthy,51052893175,http://kevinmccarthy.house.gov/rss.xml,kevinmccarthy.house.gov,2017-01-30
house of representatives,2018,Jerry McNerney,9,12,M,RepMcNerney,,Representative,RepJerryMcNerney,D,M001166,https://api.propublica.org/congress/v1/members/M001166.json,M001166,Jerry,,McNerney,https://theunitedstates.io/images/congress/450x550/M001166.jpg,1951-06-18,http://mcnerney.house.gov,412189,1021667,20702,1832,jerrymcnerney,215241308510238,,mcnerney.house.gov,2017-01-30
house of representatives,2018,Grace F. Napolitano,32,20,F,GraceNapolitano,,Representative,RepGraceNapolitano,D,N000179,https://api.propublica.org/congress/v1/members/N000179.json,N000179,Grace,F.,Napolitano,https://theunitedstates.io/images/congress/450x550/N000179.jpg,1936-12-04,http://napolitano.house.gov,400290,57873,29903,1602,RepGraceNapolitano,163108420409412,http://napolitano.house.gov/rss.xml,napolitano.house.gov,2017-01-30
house of representatives,2018,Devin Nunes,22,16,M,Rep_DevinNunes,,Representative,RepDevinNunes,R,N000181,https://api.propublica.org/congress/v1/members/N000181.json,N000181,Devin,,Nunes,https://theunitedstates.io/images/congress/450x550/N000181.jpg,1973-10-01,http://nunes.house.gov,400297,1003553,20307,1710,,,http://nunes.house.gov/news/rss.aspx,nunes.house.gov,2017-01-30
house of representatives,2018,Dana Rohrabacher,48,30,M,,http://topics.nytimes.com/top/reference/timestopics/people/r/dana_rohrabacher/index.html,Representative,RepDanaRohrabacher,R,R000409,https://api.propublica.org/congress/v1/members/R000409.json,R000409,Dana,,Rohrabacher,https://theunitedstates.io/images/congress/450x550/R000409.jpg,1947-06-21,https://rohrabacher.house.gov,400343,5590,15621,979,RepRohrabacher,321029601363321,https://rohrabacher.house.gov/rss.xml,rohrabacher.house.gov,2017-01-30
house of representatives,2018,Lucille Roybal-Allard,40,26,F,RepRoybalAllard,,Representative,RepRoybalAllard,D,R000486,https://api.propublica.org/congress/v1/members/R000486.json,R000486,Lucille,,Roybal-Allard,https://theunitedstates.io/images/congress/450x550/R000486.jpg,1941-06-12,http://roybal-allard.house.gov,400347,26136,29317,997,RepRoybalAllard,139773069370563,http://roybal-allard.house.gov/news/rss.aspx,roybal-allard.house.gov,2017-01-30
house of representatives,2018,Ed Royce,39,26,M,RepEdRoyce,,Representative,RepEdRoyce,R,R000487,https://api.propublica.org/congress/v1/members/R000487.json,R000487,Ed,,Royce,https://theunitedstates.io/images/congress/450x550/R000487.jpg,1951-10-12,http://royce.house.gov,400348,28461,29321,998,EdRoyce,6460640558,http://royce.house.gov/news/rss.aspx,www.royce.house.gov,2017-01-30
house of representatives,2018,Brad Sherman,30,22,M,BradSherman,,Representative,shermanca27,D,S000344,https://api.propublica.org/congress/v1/members/S000344.json,S000344,Brad,,Sherman,https://theunitedstates.io/images/congress/450x550/S000344.jpg,1954-10-24,http://sherman.house.gov,400371,45124,29707,1526,63158229861,63158229861,,sherman.house.gov,2017-01-30
house of representatives,2018,Adam B. Schiff,28,18,M,RepAdamSchiff,,Representative,adamschiff,D,S001150,https://api.propublica.org/congress/v1/members/S001150.json,S001150,Adam,B.,Schiff,https://theunitedstates.io/images/congress/450x550/S001150.jpg,1960-06-22,http://schiff.house.gov,400361,90167,20104,1635,RepAdamSchiff,9086721830,,schiff.house.gov,2017-01-30
house of representatives,2018,Linda T. Sánchez,38,16,F,RepLindaSanchez,,Representative,LindaTSanchez,D,S001156,https://api.propublica.org/congress/v1/members/S001156.json,S001156,Linda,T.,Sánchez,https://theunitedstates.io/images/congress/450x550/S001156.jpg,1969-01-28,https://lindasanchez.house.gov,400355,1003554,20310,1757,CongresswomanLindaSanchez,110685735673141,https://lindasanchez.house.gov/rss.xml,lindasanchez.house.gov,2017-01-30
house of representatives,2018,Maxine Waters,43,28,F,MaxineWaters,http://topics.nytimes.com/top/reference/timestopics/people/w/maxine_waters/index.html,Representative,MaxineWaters,D,W000187,https://api.propublica.org/congress/v1/members/W000187.json,W000187,Maxine,,Waters,https://theunitedstates.io/images/congress/450x550/W000187.jpg,1938-08-15,https://waters.house.gov,400422,1953,29106,1205,MaxineWaters,117483585008,,waters.house.gov,2017-01-30
house of representatives,2018,Jackie Speier,14,12,F,RepSpeier,,Representative,jackiespeierca12,D,S001175,https://api.propublica.org/congress/v1/members/S001175.json,S001175,Jackie,,Speier,https://theunitedstates.io/images/congress/450x550/S001175.jpg,1950-05-14,https://speier.house.gov,412259,1027627,20762,1890,JackieSpeier,99332606976,,speier.house.gov,2017-01-30
house of representatives,2018,John Garamendi,3,10,M,RepGaramendi,http://topics.nytimes.com/top/reference/timestopics/people/g/john_garamendi/index.html,Representative,garamendiCA10,D,G000559,https://api.propublica.org/congress/v1/members/G000559.json,G000559,John,,Garamendi,https://theunitedstates.io/images/congress/450x550/G000559.jpg,1945-01-24,http://garamendi.house.gov,412382,18413,20958,1973,repgaramendi,182567716746,http://garamendi.house.gov/rss.xml,garamendi.house.gov,2017-01-30
house of representatives,2018,Nancy Pelosi,12,30,F,NancyPelosi,http://topics.nytimes.com/top/reference/timestopics/people/p/nancy_pelosi/index.html,Representative,nancypelosi,D,P000197,https://api.propublica.org/congress/v1/members/P000197.json,P000197,Nancy,,Pelosi,https://theunitedstates.io/images/congress/450x550/P000197.jpg,1940-03-26,http://pelosi.house.gov,400314,6153,15448,905,NancyPelosi,86574174383,http://pelosi.house.gov/rss.xml,pelosi.house.gov,2017-01-30
house of representatives,2018,Judy Chu,27,12,F,RepJudyChu,,Representative,RepJudyChu,D,C001080,https://api.propublica.org/congress/v1/members/C001080.json,C001080,Judy,,Chu,https://theunitedstates.io/images/congress/450x550/C001080.jpg,1953-07-07,https://chu.house.gov,412379,92573,20955,1970,RepJudyChu,41228315130,https://chu.house.gov/rss.xml,chu.house.gov,2017-01-30
house of representatives,2018,Mike Thompson,5,20,M,RepThompson,,Representative,CongressmanMThompson,D,T000460,https://api.propublica.org/congress/v1/members/T000460.json,T000460,Mike,,Thompson,https://theunitedstates.io/images/congress/450x550/T000460.jpg,1951-01-24,http://mikethompson.house.gov,400403,57872,29901,1593,RepMikeThompson,7109195747,http://mikethompson.house.gov/rss.xml,mikethompson.house.gov,2017-01-30
house of representatives,2018,Jeffrey Denham,10,8,M,RepJeffDenham,,Representative,repjeffdenham,R,D000612,https://api.propublica.org/congress/v1/members/D000612.json,D000612,Jeffrey,,Denham,https://theunitedstates.io/images/congress/450x550/D000612.jpg,1967-07-29,http://denham.house.gov,412403,623287,21109,1995,RepJeffDenham,133714040028137,http://denham.house.gov/rss.xml,denham.house.gov,2017-01-30
house of representatives,2018,Karen Bass,37,8,F,RepKarenBass,,Representative,RepKarenBass,D,B001270,https://api.propublica.org/congress/v1/members/B001270.json,B001270,Karen,,Bass,https://theunitedstates.io/images/congress/450x550/B001270.jpg,1953-10-03,https://bass.house.gov,412404,62502,21110,1996,RepKarenBass,190867440939405,https://bass.house.gov/rss.xml,bass.house.gov,2017-01-30
house of representatives,2018,Doug LaMalfa,1,6,M,RepLaMalfa,,Representative,RepLaMalfa,R,L000578,https://api.propublica.org/congress/v1/members/L000578.json,L000578,Doug,,LaMalfa,https://theunitedstates.io/images/congress/450x550/L000578.jpg,1960-07-02,http://lamalfa.house.gov,412510,68493,21302,2100,RepLaMalfa,,http://lamalfa.house.gov/rss.xml,lamalfa.house.gov,2017-01-30
house of representatives,2018,Jared Huffman,2,6,M,RepHuffman,,Representative,rephuffman,D,H001068,https://api.propublica.org/congress/v1/members/H001068.json,H001068,Jared,,Huffman,https://theunitedstates.io/images/congress/450x550/H001068.jpg,1964-02-18,http://huffman.house.gov,412511,622431,21303,2101,RepHuffman,200227780116038,http://huffman.house.gov/rss.xml,huffman.house.gov,2017-01-30
house of representatives,2018,Paul Cook,8,6,M,RepPaulCook,,Representative,RepPaulCook,R,C001094,https://api.propublica.org/congress/v1/members/C001094.json,C001094,Paul,,Cook,https://theunitedstates.io/images/congress/450x550/C001094.jpg,1943-03-03,http://cook.house.gov,412513,68278,21305,2103,RepPaulCook,464458413604093,http://cook.house.gov/rss.xml,cook.house.gov,2017-01-30
house of representatives,2018,Eric Swalwell,15,6,M,RepSwalwell,,Representative,ericswalwell,D,S001193,https://api.propublica.org/congress/v1/members/S001193.json,S001193,Eric,,Swalwell,https://theunitedstates.io/images/congress/450x550/S001193.jpg,1980-11-16,https://swalwell.house.gov,412514,79729,21306,2104,CongressmanEricSwalwell,450130878375355,,swalwell.house.gov,2017-01-30
house of representatives,2018,David Valadao,21,6,M,RepDavidValadao,,Representative,congressmanvaladao,R,V000129,https://api.propublica.org/congress/v1/members/V000129.json,V000129,David,,Valadao,https://theunitedstates.io/images/congress/450x550/V000129.jpg,1977-04-14,http://valadao.house.gov,412515,623702,21307,2105,CongressmanDavidValadao,105596689621089,http://valadao.house.gov/news/rss.aspx,valadao.house.gov,2017-01-30
house of representatives,2018,Julia Brownley,26,6,F,JuliaBrownley26,,Representative,RepJuliaBrownley,D,B001285,https://api.propublica.org/congress/v1/members/B001285.json,B001285,Julia,,Brownley,https://theunitedstates.io/images/congress/450x550/B001285.jpg,1952-08-28,http://juliabrownley.house.gov,412516,79783,21308,2106,RepJuliaBrownley,330504617051234,http://juliabrownley.house.gov/rss.xml,juliabrownley.house.gov,2017-01-30
house of representatives,2018,Tony Cardenas,29,6,M,RepCardenas,,Representative,repcardenas,D,C001097,https://api.propublica.org/congress/v1/members/C001097.json,C001097,Tony,,Cardenas,https://theunitedstates.io/images/congress/450x550/C001097.jpg,1963-03-31,https://cardenas.house.gov,412517,63934,21309,2107,repcardenas,485493954794945,https://cardenas.house.gov/rss.xml,cardenas.house.gov,2017-01-30
house of representatives,2018,Mark Takano,41,6,M,RepMarkTakano,,Representative,RepMarkTakano,D,T000472,https://api.propublica.org/congress/v1/members/T000472.json,T000472,Mark,,Takano,https://theunitedstates.io/images/congress/450x550/T000472.jpg,1960-12-10,https://takano.house.gov,412520,2737,21312,2110,RepMarkTakano,262447300551014,,takano.house.gov,2017-01-30
house of representatives,2018,Alan Lowenthal,47,6,M,RepLowenthal,,Representative,RepLowenthal,D,L000579,https://api.propublica.org/congress/v1/members/L000579.json,L000579,Alan,,Lowenthal,https://theunitedstates.io/images/congress/450x550/L000579.jpg,1941-03-08,http://lowenthal.house.gov,412521,93815,21313,2111,RepLowenthal,392631677490897,http://lowenthal.house.gov/news/rss.aspx,lowenthal.house.gov,2017-01-30
house of representatives,2018,Juan Vargas,51,6,M,RepJuanVargas,,Representative,RepJuanVargas,D,V000130,https://api.propublica.org/congress/v1/members/V000130.json,V000130,Juan,,Vargas,https://theunitedstates.io/images/congress/450x550/V000130.jpg,1961-03-07,http://vargas.house.gov,412522,8297,21314,2112,RepJuanVargas,176942192453747,http://vargas.house.gov/rss.xml,vargas.house.gov,2017-01-30
house of representatives,2018,Ami Bera,7,6,M,RepBera,,Representative,repamibera,D,B001287,https://api.propublica.org/congress/v1/members/B001287.json,B001287,Ami,,Bera,https://theunitedstates.io/images/congress/450x550/B001287.jpg,1965-03-02,http://bera.house.gov,412512,1033636,21304,2102,RepAmiBera,528662157146886,https://bera.house.gov/rss.xml,bera.house.gov,2017-01-30
house of representatives,2018,Raul Ruiz,36,6,M,CongressmanRuiz,,Representative,repraulruiz,D,R000599,https://api.propublica.org/congress/v1/members/R000599.json,R000599,Raul,,Ruiz,https://theunitedstates.io/images/congress/450x550/R000599.jpg,1972-08-25,https://ruiz.house.gov,412519,79727,21311,2109,CongressmanRaulRuizMD,245244468941114,https://ruiz.house.gov/rss.xml,ruiz.house.gov,2017-01-30
house of representatives,2018,Scott Peters,52,6,M,RepScottPeters,,Representative,,D,P000608,https://api.propublica.org/congress/v1/members/P000608.json,P000608,Scott,,Peters,https://theunitedstates.io/images/congress/450x550/P000608.jpg,1958-06-17,http://scottpeters.house.gov,412523,79661,21315,2113,CongressmanScottPeters,449337038470352,http://scottpeters.house.gov/rss.xml,scottpeters.house.gov,2017-01-30
house of representatives,2018,Mark DeSaulnier,11,4,M,RepDeSaulnier,,Representative,,D,D000623,https://api.propublica.org/congress/v1/members/D000623.json,D000623,Mark,,DeSaulnier,https://theunitedstates.io/images/congress/450x550/D000623.jpg,1952-03-31,https://desaulnier.house.gov,412613,,21504,2227,RepMarkDeSaulnier,,https://desaulnier.house.gov/rss.xml,,2017-01-30
house of representatives,2018,Steve Knight,25,4,M,SteveKnight25,,Representative,,R,K000387,https://api.propublica.org/congress/v1/members/K000387.json,K000387,Steve,,Knight,https://theunitedstates.io/images/congress/450x550/K000387.jpg,1966-12-17,https://knight.house.gov,412614,,21505,2228,RepresentativeSteveKnight,,,knight.house.gov,2017-01-30
house of representatives,2018,Ted Lieu,33,4,M,RepTedLieu,,Representative,,D,L000582,https://api.propublica.org/congress/v1/members/L000582.json,L000582,Ted,,Lieu,https://theunitedstates.io/images/congress/450x550/L000582.jpg,1969-03-29,https://lieu.house.gov,412616,,21507,2230,RepTedLieu,,https://lieu.house.gov/rss.xml,,2017-01-30
house of representatives,2018,Norma Torres,35,4,F,NormaJTorres,,Representative,,D,T000474,https://api.propublica.org/congress/v1/members/T000474.json,T000474,Norma,,Torres,https://theunitedstates.io/images/congress/450x550/T000474.jpg,1965-04-04,https://torres.house.gov,412617,,21508,2231,RepNormaTorres,,https://torres.house.gov/rss.xml,,2017-01-30
