ocdid,chamber,district_id,district_name,rep_name,rep_first_name,rep_last_name,address,city,state,zip,party,short_party,phones,email,form_link,website,facebook,twitter
ocd-division/country:us/state:ca/sldl:1,assembly,1,California Assembly District 1,Brian Dahle,Brian,Dahle,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2001,Assemblymember.Dahle@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD1,https://ad01.asmrc.org/,BrianDahleCA,BrianDahleCA
ocd-division/country:us/state:ca/sldl:2,assembly,2,California Assembly District 2,Jim Wood,Jim,Wood,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2002,Assemblymember.Wood@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD2,http://asmdc.org/members/a02/,jimwoodassembly,JimWoodAD2
ocd-division/country:us/state:ca/sldl:3,assembly,3,California Assembly District 3,James Gallagher,James,Gallagher,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2003,Assemblymember.Gallagher@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD3,http://ad03.asmrc.org/,AssemblymanJamesGallagher,j_gallagherad3
ocd-division/country:us/state:ca/sldl:4,assembly,4,California Assembly District 4,Cecilia M. Aguiar-Curry,Cecilia,Aguiar-Curry,"California State Capitol, P.O. Box 942849, Room 2137",Sacramento,CA,94249-0004,Democratic,D,(916) 319-2004,Assemblymember.Aguiar-Curry@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD4,https://a04.asmdc.org/,,ceciliaad4
ocd-division/country:us/state:ca/sldl:5,assembly,5,California Assembly District 5,Frank Bigelow,Frank,Bigelow,PO BOX 942849,Sacramento,CA,94249,Republican,R,(916) 319-2005,Assemblymember.Bigelow@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD5,https://ad05.asmrc.org,BigelowForCA,FrankBigelowCA
ocd-division/country:us/state:ca/sldl:6,assembly,6,California Assembly District 6,Kevin Kiley,Kevin,Kiley,"California State Capitol, P.O. Box 942849, Room 2130",Sacramento,CA,94249-0006,Republican,R,(916) 319-2006,Assemblymember.Kiley@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD6,https://ad06.asmrc.org/,,kevinkileyca
ocd-division/country:us/state:ca/sldl:7,assembly,7,California Assembly District 7,Kevin McCarty,Kevin,McCarty,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2007,Assemblymember.McCarty@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD7,http://asmdc.org/members/a07/,councilmemberkevin.mccarty,kevmccarty
ocd-division/country:us/state:ca/sldl:8,assembly,8,California Assembly District 8,Ken Cooley,Ken,Cooley,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2008,Assemblymember.Cooley@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD8,http://asmdc.org/members/a08,ken.cooley,kencooley
ocd-division/country:us/state:ca/sldl:9,assembly,9,California Assembly District 9,Jim Cooper,Jim,Cooper,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2009,Assemblymember.Cooper@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD9,http://asmdc.org/members/a09,AssemblymemberJimCooper,AsmJimCooper
ocd-division/country:us/state:ca/sldl:10,assembly,10,California Assembly District 10,Marc Levine,Marc,Levine,PO BOX 942849,Sacramento,CA,94249,Democratic,D,(916) 319-2010,Assemblymember.Levine@assembly.ca.gov,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD10,http://asmdc.org/members/a10,AssemblymemberLevine,MarcLevine
