position,full_name,first_name,last_name,party,district,view_on_syria,caption,image_url,source,source_url
Sen.,Barbara Boxer,Barbara,Boxer,D,California,"""As the author of the Syria Accountability Act, which raised deep concerns about Syria's chemical weapons program, I believe those who used these horrific weapons to cause so much human suffering must be held accountable.""",U.S. Senator Barbara Boxer - (D-California),http://a.scpr.org/i/7fa2ec4d317dc35efad1109dcf87bd5f/54550-wide.jpg,,
Sen.,Dianne Feinstein,Dianne,Feinstein,D,Sen,"""I listened carefully to what Secretary Kerry had to say and believe his remarks should stir the conscience of the world. He pointed out the high confidence our government has that this was a chemical weapons attack, that it was directed by the Assad regime and that it killed 1,429 people, including at least 426 children.

""The unclassified intelligence assessment released today tracks closely with briefings I have received over the past week. I agree with Secretary Kerry that the world cannot let such a heinous attack pass without a meaningful response, and I hope the international community will take appropriate action.""",U.S. Senator Dianne Feinstein - (D-California),http://a.scpr.org/i/09c690ebd714f0ea64794e7e60903a01/54558-wide.jpg,Press Release,http://www.feinstein.senate.gov/public/index.cfm/press-releases?ID=2edba615-6490-4f82-a43c-642a81a0364f
Rep.,Karen Bass,Karen,Bass,D,Los Angeles,,Congresswoman Karen Bass - (D-LA),http://a.scpr.org/i/3ee347387ef2978f9365d85bc1d86d1e/54579-wide.jpg,,
Rep.,Xavier Becerra,Xavier,Becerra,D,Los Angeles,"UPDATED STATEMENT: “In announcing today that he would seek Congressional approval for a targeted, strategic military strike on the Syrian government, President Obama is doing what's right for America and for the people who believe in what our nation stands for.  Americans deserve and expect open and transparent governance, particularly when decisions of life and death are at stake.  Congress will now have a chance to debate the President's call to action, and the evidence and rationale behind it.  Let us now be up to the task as we prepare for that vote.”

ORIGINAL STATEMENT: “The use of chemical weapons is immoral and an unmistakably heinous crime under international law.  
A perpetrator of such a barbarous act must be held accountable, otherwise the civilized world gives license to such crimes against humanity.  
 
What America does in response to the mass killings in Syria depends, for me, on the answer to two questions:
 
First, do we have compelling, uncontroverted evidence that chemical weapons were used and who was responsible?
 
Second, absent formal Congressional approval or United Nations authorization, is the proposed response targeted and strategic, aimed at deterring future outlaw behavior?
 
If the answer is yes to both questions, then I believe the President, after meaningful consultation with Congress, may act in defense of humanity and civilized nations.  Inaction in the face of strong evidence of mass killings from the unconscionable use of chemical weapons would be morally irresponsible.  But, what would be as wrong and indefensible as inaction would be a response, under these circumstances, that goes beyond legitimately seeking to deter the criminal behavior.  
 
Like all Americans, I am looking for answers, and in particular, for answers to the two crucial questions that I believe determine what America can and should do.  President Obama has a tough job and some tough decisions ahead of him. I believe the President, working with our nation's leaders and best advisers, will do what's right for America and for the people who believe in what America stands for.”",Congressman Xavier Becerra - (D-LA),http://a.scpr.org/i/79c79633804a925228f00fd1aa7136e2/54596-wide.jpg,Press releases,
Rep.,Ami Bera,Ami,Bera,D,Sacramento,"""Has been briefed; no statement at this time."" - spokesperson from Ami Bera's office. ",Congressman Ami Bera - (D-Sacramento),http://a.scpr.org/i/f036f51e514ea2d99bdad1e58e09eb27/54548-wide.jpg,,
Rep.,Julia Brownley,Julia,Brownley,D,Ventura,,Congresswoman Julia Brownley - (D-Ventura),http://a.scpr.org/i/3f38355a9c7dcee8ff2ba837190fe908/54578-wide.jpg,,
Rep.,Ken Calvert,Ken,Calvert,R,Riverside,,Congressman Ken Calvert - (R-Riverside),http://a.scpr.org/i/5c00f39554b87f7bd39f3cdf187fbc97/54581-wide.jpg,,
Rep.,John Campbell,John,Campbell,R,Irvine,"""Any potential military action could have the consequence of expanding into a much wider conflict and is not warranted by U.S. foreign policy interests. We should stay out of it.""",Congressman John Campbell - (R-Irvine),http://a.scpr.org/i/80b1d143c32e43513fd0e0a28738be04/54577-wide.jpg,,
Rep.,Lois Capps,Lois,Capps,D,Santa Barbara,,Congresswoman Lois Capps - (D-Santa Barbara),http://a.scpr.org/i/a92aee5fd6f204ce2cbd8869b3df5a54/54583-wide.jpg,,
Rep.,Tony Cardenas,Tony,Cardenas,D,"North Hollywood, Sun Valley","I stand ready to return to Washington immediately, should President Obama call for us to come back into session. I look forward to hearing and analyzing all the intelligence and evidence, having a robust debate, and coming to a conclusion on the issue.","Congressman Tony Cardenas - (D-North Hollywood, Sun Valley)",http://a.scpr.org/i/ad4fc5e07d392a3ed73d09a18c30d383/54600-wide.jpg,,
