title,date,display date,photo url,caption,body,read more url
Lead recycling plant opens in Vernon,"December 18, 1981",Dec. 18,http://a.scpr.org/i/704fdc72ff5828c62d6ee90e5ccdee25/59342-eight.jpg," Exide's Vernon plant takes apart and recycles 20-40,000 auto batteries a day. State regulators have shut it down as a threat to human health and the surrounding environment. ","1981 California’s Department of Health Services issued an “interim status document” for the lead recycling plant at 2700 S Indiana Avenue, Vernon, California, on December 18, 1981. Gould, Inc. owned it at the time. ",
Gould changed its name to Gould-National Battery (GNB),"January 1, 1984",1984,,,,
GNB sells plant to Exide Technologies,"October 2, 2000",Oct. 2,,,"Exide purchases GNB and its assets, including the plant in Vernon.",
California officials find high traces of lead near Exide,"January 1, 1999",1999,,,"Between 1999-2000, DTSC found lead at levels of 40 percent in the sediment at the bottom of the storm water retention pond and required Exide to clean it up. DTSC “was clearly aware” that the storm water drain lines were bringing lead particulates to the pond and that the lines were reportedly “perforated” so that they could leak into the soil on purpose.",
Exide fined $40k,"January 8, 2003",Jan. 8,,," In 2003, the DTSC fined Exide $40,000 for improper storage of used lead-acid batteries. Exide delayed payment because of the company's Chapter 11 bankruptcy filing.",http://www.scribd.com/doc/145386178/DTSC-s-2003-Consent-Order-for-Exide-Technologies-in-Vernon
DTSC takes emergency measure to force Exide cleanup,"January 1, 2004",2004,,,"The DTSC took emergency measures in 2004 and again in 2008 to force Exide to clean up a lead-contaminated drainage channel, and public areas like sidewalks, streets, and neighboring roofs.",
AQMD fines Exide,"March 26, 2004",March 26,,,"Exide paid $3,000 to settle two air quality violations with regulators.",
Air regulators fine Exide,"May 25, 2009",May 26,,,"Exide paid $7,500 to settle an air quality violation with regulators.",
Exide fined $25k,"August 16, 2006",August 16,,,"The DTSC fines Exide $39,000 in 2006 for failing to minimize the possibility of hazardous releases.",http://www.scribd.com/doc/145386185/DTSC-s-2006-Consent-Order-for-Exide-Technologies-in-Vernon
DTSC circulates a draft permit for Exide facility,"June 1, 2006",June 1,,,"The closest Exide has ever come to having a permit to operate a hazardous waste facility came in 2006, when DTSC regulators circulated a draft permit for public comment. ",http://dtsc.ca.gov/HazardousWaste/Projects/upload/Exide_dPermit.pdf
Study finds Exide deposited 1500 pounds of lead into LA River watershed,"September 24, 2007",Sept. 24,,,"A study prepared by e2 Environmental for Exide at the request of the California Regional Water Quality Control Board and shared with DTSC officials in 2007 said modeling of the dispersion of heavy metals from the site “suggest that in the last three years, Exide has contributed through deposition approximately 424 lbs. of lead in both 2004 and 2005 and 712 lbs of lead in 2006 to the watershed.”",
Air regulators fine Exide,"February 29, 2008",Feb. 28,,,"Exide paid $5,000 to settle an air quality violation with regulators.",
Lead sludge found in stormwater retention basin,"April 29, 2009",April 29,,,"During an annual compliance evaluation inspection, DTSC officials find lead sludge in the stormwater retention basin. Exide tells regulators it cleans out the basin once a year. That discovery leads to an enforcement order in 2010.",http://www.scribd.com/doc/145386203/Annual-Compliance-Evaluation-Inspection-Report-for-Exide-2010
AQMD fines Exide $400K,"July 7, 2009",July 7,,,"Exide paid $150,000 to settle 14 air quality violations with regulators. In addition, Exide paid $250,000 to partially reimburse air regulatorsinvestigation and enforcement costs",
DTSC fines Exide $100k,"August 12, 2010",August 12,,,"DTSC fined Exide more than $100,000",http://www.scribd.com/doc/145386204/DTSC-s-2010-enforcement-order-for-Exide-s-Vernon-plant
More stringent monitoring goes into effect,"November 5, 2010",Nov. 5,,,"In November 2010, SCAQMD adopted Rule 1420.1 – Emissions Standards for Lead from Large Lead-Acid Battery Recycling Facilities. The rule imposed on Exide more stringent monitoring, operating and reporting requirements in order to meet the new lowered federal emissions standards for lead. Rule 1420.1 requires total facility enclosure, additional air monitoring and sampling, annual source testing and additional housekeeping measure",
Exide admits air pollution,"July 31, 2011",July 31,,,"Exide tells air regulators that it exceeded ambient concentrations of lead that had been defined the previous November. By the beginning of 2012, the company lowered its air emissions of lead with additional measures, thereby complying with the law. 
",
Air regulators fine Exide $119K,"June 19, 2012",June 19,,,"Air regulators approved a settlement with Exide. The company paid $119,000 to settle 7 air quality violations.",
Health risk assesment finds cancer risk to those in vicinity of Exide,"March 1, 2013",March 1,http://a.scpr.org/i/09dde2f50a092357e8384a5baf7855cb/61855-wide.jpg,"State officials suspended operations at the Exide Technologies in Vernon, Calif. in April due to emissions of arsenic that could pose a health risk to 110,000 people in nearby communities. The plant is now reopened.","A Health Risk Aassessment submitted by Exide in January, 2013 indicates the Facility poses a maximum individual cancer risk (MICR) of 156 in one million for an offsite worker receptor about 300 meters northeast of the Facility (primarily arsenic). Air regulators also assert that the facility poses a maximum chronic hazard index (HI) of 63 for the respiratory system at the same offsite worker receptor identified in Section 16.1 (from arsenic). 

",
Breaches in Exide underground pipelines detected,"March 5, 2013",March 5,,"An employee wearing a breathing mask works at Exide Technologies, a battery recycling plant has discharged harmful amounts of lead into surrounding communities.","Underground pipelines used to convey the lead contaminated storm water to a hazardous waste treatment tank system are in poor conditions an accumulation of semi-solid sludge materials (also known in the industry as mud) generally throughout the piping system that contain elevated levels of hazardous waste, specifically metals (e.g., lead, arsenic and cadmium). The documents show several areas within the pipelines which depict failed structural integrity (breaches).",http://youtu.be/x_UnakLDCWM
"AQMD orders risk assessment, public meetings","March 24, 2013",March 24,http://a.scpr.org/i/983ca0a8aacb0a5d0f2ddaac1cf68394/61857-wide.jpg,," AQMD orders Exide to submit a risk reduction plan for air emissions, and orders the company to hold public meetings, after a report completed in January shows cancer risks of 156 in a million mostly from arsenic in areas immediately surrounding the plant. ",
Exide shut down,"April 24, 2013",April 24,http://a.scpr.org/i/3cd10b4eb2ac337130bec7066d6d2f84/61856-eight.jpg,"State officials shut down operations at Exide Technologies in Vernon, Calif. in April due to toxic air pollution that may pose health risks to members of the surrounding community. The plant is now open again.","DTSC chief Debbie Raphael ordered Exide to be closed, finding that “an imminent and substantial danger to the public health, safety and the environment” exists. The finding was based on a “recent report” submitted by Exide showing that underground storm sewer pipelines are releasing toxic material to the environment, and on a report submitted by Exide to AQMD showing that toxic emissions pose a risk to the surrounding community. ",http://www.scribd.com/doc/145386216/DTSC-s-Suspension-Order-for-Exide-Technologies
"Exide rejects findings, calls for hearing","May 7, 2013",May 7,http://a.scpr.org/i/09a4d9915749452889f009bc64b5ba35/61854-wide.jpg,"Community members attend a meeting at the Huntington Park Community Center about air pollution from Exide Technologies in Vernon, Calif. on May 30th, 2013.","Exide Technologies contests the shutdown and calls for a hearing before an administrative law judge. “The DTSC has known of the issues raised in the Order and Accusation for an extended period of time, and has consented to Exide’s continued operation,” wrote the Los Angeles firm of Sheppard, Mullin, Richter & Hampton, in the notice of defense Exide submitted. 

",http://www.scribd.com/doc/145386220/Exide-Technologies-Notice-of-Defense
