position,full_name,first_name,last_name,party,district,Caption,image_url,owns_firearm,comment,supporting_specific_proposals,bioguide_id
Rep,Adam Schiff,Adam,Schiff,D,Glendale,Calif. Congressional member Adam Schiff - (D-Glendale),http://a.scpr.org/i/5fe587ea8a39086d95d134d5425a1aa4/54546-wide.jpg,No,"I grew up in a home with guns above the fireplace in the den, and my brother and I enjoyed hunting with our dad. He taught us to use firearms safely and to have respect for them and the risks that they pose, much like he taught us to swim and respect the power of the ocean. Today, I do not own any firearms, but I still very much enjoy shooting targets and clays. My background gives me a respect for hunters and sportsmen, but it also convinces me that nothing should preclude us from enacting common-sense gun measures that will ultimately save lives. I have never seen a hunter use an AK-47, and don't know why anyone needs an extended ammunition clip. At the end of the day, do we really want bad guys to have access to firearms more deadly than those carried by the police who protect our neighborhoods?","Require background checks of all gun purchasers; ban extended ammunition clips and assault rifles; provide support for our mental health care system. “I have also introduced legislation to ensure that victims of gun violence have the same rights to hold gun makers and gun sellers accountable for negligence, and I have re-introduced a bill I authored last session to crack down on straw purchasers of guns who assist others in illegally obtaining weapons without background checks.”",S001150
Rep,Alan Lowenthal,Alan,Lowenthal,D,Long Beach,Calif. Congressional member Alan Lowenthal - (D-Long Beach),http://a.scpr.org/i/7acbfa2dd4d5410522d0aecfaef99f74/54547-wide.jpg,No,,"Co-sponsor of House assault weapons ban bill; supports universal background checks, ban on high-capacity magazines, ban on military-style assault weapons w/no loopholes; strengthening the ATF w/increased funding and by appointing a director; more gun buyback programs; more resources going toward mental health services.",L000579
Rep,Ami Bera,Ami,Bera,D,Sacramento,Calif. Congressional member Ami Bera - (D-Sacramento),http://a.scpr.org/i/f036f51e514ea2d99bdad1e58e09eb27/54548-wide.jpg,Did not respond,,"Limit the capacity of ammunition magazines, close the private sale loophole, and ban military-style weapons",B001287
Rep,Anna Eshoo,Anna,Eshoo,D,Palo Alto,Calif. Congressional member Anna Eshoo - (D-Palo Alto),http://a.scpr.org/i/705804ea1579455f3a999ddac15874cd/54549-wide.jpg,No,"""I don't own, nor have I ever owned a firearm. I've never thought I needed one.""","Co-sponsor of HR 137: individuals who should be prohibited from buying a firearm are listed in the national instant criminal background check system and require a background check for every firearm sale; HR 138, prohibits transfer or possession of large capacity ammunition feeding devices; HR 141:require criminal background checks on all firearms transactions occurring at gun shows; and HR 142: requires face-to-face purchases of ammunition, licensing of ammunition dealers, and reporting bulk purchases of ammunition  ",E000215
Sen,Barbara Boxer,Barbara,Boxer,D,California,Calif. Congressional member Barbara Boxer - (D-California),http://a.scpr.org/i/7fa2ec4d317dc35efad1109dcf87bd5f/54550-wide.jpg,Declined to state,,"Supports president’s proposal; universal background checks; assault weapons ban; ban on high capacity magazines; improve database and reporting by states to keep guns out of the hands of criminals and mentally ill. She has sponsored legislation that offers grants to schools that want to increase security on campus, including hiring “school resource officers” who could be armed.",B000711
Rep,Barbara Lee,Barbara,Lee,D,Oakland,Calif. Congressional member Barbara Lee - (D-Oakland),http://a.scpr.org/i/6ec1cc8b4e6bcbca5b4d075b595d1d3d/54551-wide.jpg,Declined to state,,Declined to state,L000551
Rep,Brad Sherman,Brad,Sherman,D,Sherman Oaks,Calif. Congressional member Brad Sherman - (D-Sherman Oaks),http://a.scpr.org/i/d7eef28b6b29158970229989cc158bb7/54552-wide.jpg,Declined to state,,"The mass shootings in Connecticut, Colorado, and Arizona demonstrate the need to strengthen and implement sensible gun control measures. I joined with my colleagues in introducing the Assault Weapons Ban of 2013 which regulates high-capacity ammunition magazines and military style assault weapons that allow gunmen to fire large number of rounds quickly without reloading. I support a number of other measures as well, and plan to work towards their enactment.",S000344
Rep,Buck McKeon,Buck,McKeon,R,Santa Clarita,Calif. Congressional member Buck McKeon - (R-Santa Clarita),http://a.scpr.org/i/1b969c4595e7d92bc17d2917f5da5002/54553-wide.jpg,Yes,He has owned guns since his parents gave him his first shotgun.,"I have been, and will continue to be, a staunch supporter of the Second Amendment and I plan to review all of the President's recommendations thoroughly.  I am committed to addressing the root causes of gun violence and finding common sense and responsible policy solutions without curtailing any of our Second Amendment rights.  Additionally, the Committee on Education and Workforce, of which I am a senior member, has announced that in the coming weeks the Committee will be holding  hearings to examine school safety and I am hopeful that we can work together to explore and implement policies that will help to prevent violence in our schools.""",M000508
Rep,Dana Rohrabacher,Dana,Rohrabacher,R,Huntington Beach,Calif. Congressional member Dana Rohrabacher - (R-Huntington Beach),http://a.scpr.org/i/eeadd3e3c3820e30e91e3d1e1aac5721/54555-wide.jpg,No,,"The President's proposals are either duplicative, thus unnecessary, or they  focus the government's authority and power on controlling honest citizens rather than making it more likely to disarm criminals. Background checks have value but care needs to be taken that they do not violate the rights of law abiding citizens.",R000409
Rep,Darrell Issa,Darrell,Issa,R,Vista,Calif. Congressional member Darrell Issa - (R-Vista),http://a.scpr.org/i/6b3c6712bbbb095febdf8c2daa21a3d9/54557-wide.jpg,Did not respond,,"""Shootings in Newton, Connecticut and Aurora, Colorado have appropriately focused public attention on the tragic consequences that can occur when deranged individuals gain access to firearms.  The recommendations that came from Vice-President Biden's weeks long effort need to be studied carefully and I certainly hope that the Administration will remain open to other ideas as well.  After investigating the botched ATF Fast and Furious gunwalking operation for two years, I certainly have concerns about insufficient Justice Department efforts to enforce existing laws that result in dangerous criminals having continued access to firearms. I intend to carefully examine President Obama's proposals and look forward to getting more details.""",I000056
