Date,Median year,La Niña years,2016-2017
10/1/16,0.17,0,0
10/2/16,0.2,0,0
10/3/16,0.22,0,0
10/4/16,0.29,0,0
10/5/16,0.39,0,0
10/6/16,0.47,0.01,0
10/7/16,0.53,0.01,0
10/8/16,0.56,0.01,0
10/9/16,0.59,0.01,0
10/10/16,0.65,0.01,0
10/11/16,0.78,0.01,0
10/12/16,0.85,0.01,0
10/13/16,0.91,0.01,0
10/14/16,1.05,0.01,0
10/15/16,1.08,0.01,0
10/16/16,1.16,0.01,0.23
10/17/16,1.36,0.01,0.93
10/18/16,1.53,0.01,0.97
10/19/16,1.66,0.01,0.97
10/20/16,1.96,0.01,0.97
10/21/16,2.05,0.01,0.97
10/22/16,2.19,0.01,0.97
10/23/16,2.37,0.02,1.41
10/24/16,2.44,0.03,2.52
10/25/16,2.54,0.26,2.56
10/26/16,2.64,0.26,2.56
10/27/16,2.87,0.27,2.56
10/28/16,3.01,0.27,3.17
10/29/16,3.15,0.37,3.25
10/30/16,3.44,0.55,3.73
10/31/16,3.65,0.55,3.83
11/1/16,3.81,0.55,3.83
11/2/16,3.92,0.55,3.83
11/3/16,4.01,0.55,3.83
11/4/16,4.12,0.55,3.83
11/5/16,4.31,0.55,3.83
11/6/16,4.58,0.57,3.83
11/7/16,4.93,1.08,3.83
11/8/16,5.27,2.01,3.83
11/9/16,5.49,2.07,3.83
11/10/16,5.9,2.08,3.83
11/11/16,6.44,2.08,3.83
11/12/16,6.91,2.08,3.83
11/13/16,7.25,2.09,3.83
11/14/16,7.76,2.96,3.83
11/15/16,8.13,2.96,3.83
11/16/16,8.47,2.96,3.83
11/17/16,8.89,3.51,
11/18/16,9.15,4.71,
11/19/16,9.48,4.71,
11/20/16,10.05,4.71,
11/21/16,10.58,4.71,
11/22/16,10.97,4.71,
11/23/16,11.27,5.03,
11/24/16,11.52,5.03,
11/25/16,11.86,5.03,
11/26/16,12.16,5.03,
11/27/16,12.29,5.48,
11/28/16,12.59,8.16,
11/29/16,13.1,8.37,
11/30/16,13.59,8.37,
12/1/16,13.82,8.4,
12/2/16,14.26,8.44,
12/3/16,14.75,8.51,
12/4/16,15.33,8.55,
12/5/16,15.9,8.6,
12/6/16,16.49,8.66,
12/7/16,16.98,8.7,
12/8/16,17.2,8.73,
12/9/16,17.44,8.74,
12/10/16,17.87,8.79,
12/11/16,18.26,8.82,
12/12/16,18.74,8.88,
12/13/16,18.98,8.95,
12/14/16,19.13,8.97,
12/15/16,19.44,11.35,
12/16/16,19.89,12.76,
12/17/16,20.4,12.76,
12/18/16,21.02,12.76,
12/19/16,21.78,12.95,
12/20/16,22.32,13.07,
12/21/16,22.87,13.11,
12/22/16,23.59,13.11,
12/23/16,23.95,13.11,
12/24/16,24.46,13.11,
12/25/16,25.13,13.2,
12/26/16,25.59,13.2,
12/27/16,26.18,13.2,
12/28/16,27.01,13.2,
12/29/16,27.97,13.2,
12/30/16,28.44,13.2,
12/31/16,28.69,13.32,
1/1/17,28.87,13.32,
1/2/17,29.24,13.32,
1/3/17,29.65,13.32,
1/4/17,30.31,13.32,
1/5/17,31.22,13.32,
1/6/17,32.09,13.32,
1/7/17,32.99,13.32,
1/8/17,33.46,13.32,
1/9/17,34.12,13.32,
1/10/17,35.12,13.32,
1/11/17,35.9,13.32,
1/12/17,36.45,13.32,
1/13/17,37.06,13.32,
1/14/17,37.47,13.32,
1/15/17,37.92,13.32,
1/16/17,38.59,13.32,
1/17/17,39.12,13.32,
1/18/17,39.83,13.32,
1/19/17,40.43,13.7,
1/20/17,41.06,15.24,
1/21/17,41.65,15.44,
1/22/17,42.52,15.44,
1/23/17,43.27,15.44,
1/24/17,44.17,16.55,
1/25/17,45.23,21.64,
